name,businesses_in_category,user_avg_in_category,overall_category_avg,deviation
Michelle,714,4.01,3.82,0.18
Boon,631,3.9,3.82,0.07
Bill,608,4.05,3.82,0.23
Brett,556,4.19,3.82,0.37
michelle,547,3.85,3.82,0.02
Karen,538,3.53,3.82,-0.3
Steve,524,4.12,3.82,0.29
Ken,510,4.21,3.82,0.38
Peter,486,3.31,3.82,-0.51
Jeff,467,4.17,3.82,0.34
Abraham,438,3.99,3.82,0.17
Erica,397,3.78,3.82,-0.04
Mike,393,3.31,3.82,-0.52
Richard,381,3.65,3.82,-0.17
Mark,373,3.29,3.82,-0.54
Brittany,371,4.3,3.82,0.48
Sheena,369,3.84,3.82,0.01
Brad,366,3.96,3.82,0.14
Alexis,365,3.54,3.82,-0.28
Gloria,363,3.58,3.82,-0.24
